date,wau,retained,new,resurrected,churned
07-13-2015,8,3,1,4,0
07-20-2015,3,3,0,0,-5
07-27-2015,2,2,0,0,-1
08-03-2015,7,2,1,4,0
08-10-2015,3,2,0,1,-5
08-17-2015,4,2,0,2,-1
08-24-2015,6,4,1,1,0
08-31-2015,7,4,0,3,-2
09-07-2015,5,5,0,0,-2
09-14-2015,5,4,1,0,-1
09-21-2015,10,4,3,3,-1
09-28-2015,6,6,0,0,-4
10-05-2015,5,4,0,1,-2
10-12-2015,6,4,1,1,-1
10-19-2015,7,4,2,1,-2
10-26-2015,7,4,0,3,-3
11-02-2015,11,7,2,2,0
11-09-2015,7,5,0,2,-6
11-16-2015,9,5,0,4,-2
11-23-2015,4,4,0,0,-5
11-30-2015,7,4,0,3,0
12-07-2015,7,5,1,1,-2
12-14-2015,4,4,0,0,-3
12-21-2015,4,2,0,2,-2
12-28-2015,1,1,0,0,-3
01-04-2016,3,1,0,2,0
01-11-2016,4,2,0,2,-1
01-18-2016,5,3,0,2,-1
01-25-2016,7,4,1,2,-1
02-01-2016,5,5,0,0,-2
02-08-2016,6,5,0,1,0
02-15-2016,6,6,0,0,0
02-22-2016,7,6,0,1,0
02-29-2016,6,5,0,1,-2
03-07-2016,8,6,0,2,0
03-14-2016,6,6,0,0,-2
03-21-2016,5,5,0,0,-1
03-28-2016,8,5,0,3,0
04-04-2016,9,8,0,1,0
04-11-2016,6,6,0,0,-3
04-18-2016,5,5,0,0,-1
04-25-2016,5,5,0,0,0
05-02-2016,6,4,0,2,-1
05-09-2016,5,3,1,1,-3
05-16-2016,8,4,0,4,-1
05-23-2016,9,4,3,2,-4
05-30-2016,16,7,8,1,-2
06-06-2016,10,7,2,1,-9
06-13-2016,13,8,1,4,-2
06-20-2016,11,8,0,3,-5
06-27-2016,12,8,2,2,-3
07-04-2016,9,5,2,2,-7
07-11-2016,7,5,0,2,-4
07-18-2016,11,5,1,5,-2
07-25-2016,10,6,1,3,-5
08-01-2016,8,5,1,2,-5
08-08-2016,10,5,2,3,-3
08-15-2016,13,6,2,5,-4
08-22-2016,10,7,2,1,-6
08-29-2016,8,6,0,2,-4
09-05-2016,4,3,0,1,-5
09-12-2016,3,2,0,1,-2
09-19-2016,3,3,0,0,0
09-26-2016,6,2,1,3,-1
10-03-2016,6,5,0,1,-1
10-10-2016,5,5,0,0,-1
10-17-2016,5,4,1,0,-1
10-24-2016,5,4,0,1,-1
10-31-2016,6,3,0,3,-2
11-07-2016,4,3,0,1,-3
11-14-2016,3,3,0,0,-1
11-21-2016,5,3,0,2,0
11-28-2016,5,4,1,0,-1
12-05-2016,6,4,0,2,-1
12-12-2016,7,4,1,2,-2
12-19-2016,2,1,0,1,-6
12-26-2016,1,0,0,1,-2
01-02-2017,4,0,1,3,-1
01-09-2017,3,2,0,1,-2
01-16-2017,2,1,0,1,-2
01-23-2017,8,2,1,5,0
01-30-2017,7,2,0,5,-6
02-06-2017,7,2,0,5,-5
02-13-2017,9,5,0,4,-2
02-20-2017,6,5,0,1,-4
02-27-2017,7,4,0,3,-2
03-06-2017,2,2,0,0,-5
03-13-2017,3,1,0,2,-1
03-20-2017,6,3,0,3,0
03-27-2017,3,2,0,1,-4
04-03-2017,5,1,1,3,-2
04-10-2017,5,1,0,4,-4
04-17-2017,5,3,1,1,-2
04-24-2017,4,3,0,1,-2
05-01-2017,6,2,2,2,-2
05-08-2017,6,3,0,3,-3
05-15-2017,6,3,0,3,-3
05-22-2017,5,3,1,1,-3
05-29-2017,7,2,0,5,-3
